height,weight,collage,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury,total_years
"(191, 203]","(95, 107]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(23, 29]",22.0,0.0,163.0,8.4,5.4,20.9,12.8,8.0,28.0,36.0,48.0,"(-1, 5]",1,"(-1, 2]"
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",56.0,2.0,865.0,14.0,1.5,9.7,5.6,12.0,76.0,88.0,410.0,"(-1, 5]",1,"(2, 5]"
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",50.0,0.0,795.0,10.7,2.3,7.8,5.0,16.0,56.0,72.0,323.0,"(-1, 5]",1,"(2, 5]"
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",44.0,1.0,568.0,11.5,2.6,9.4,6.0,13.0,48.0,61.0,172.0,"(-1, 5]",2,"(2, 5]"
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",57.0,22.0,1278.0,12.4,1.7,8.2,4.9,20.0,94.0,114.0,441.0,"(-1, 5]",3,"(2, 5]"
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",28.0,0.0,99.0,9.7,1.1,10.2,5.5,1.0,9.0,10.0,44.0,"(-1, 5]",1,"(2, 5]"
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",26.0,0.0,324.0,12.0,2.1,8.9,5.6,6.0,26.0,32.0,133.0,"(-1, 5]",1,"(2, 5]"
"(179, 191]","(71, 83]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",82.0,82.0,2919.0,16.0,2.0,6.6,4.2,54.0,161.0,215.0,1604.0,"(-1, 5]",1,"(8, 11]"
"(179, 191]","(71, 83]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",59.0,12.0,1284.0,13.1,1.8,5.2,3.5,20.0,58.0,78.0,634.0,"(-1, 5]",1,"(8, 11]"
"(179, 191]","(71, 83]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",46.0,20.0,959.0,12.1,1.4,8.1,4.7,12.0,66.0,78.0,366.0,"(-1, 5]",2,"(8, 11]"
"(179, 191]","(71, 83]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",43.0,0.0,716.0,11.9,3.8,5.7,4.8,23.0,39.0,62.0,299.0,"(5, 11]",2,"(8, 11]"
"(179, 191]","(71, 83]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",82.0,21.0,1885.0,14.4,1.9,7.5,4.8,32.0,134.0,166.0,954.0,"(5, 11]",1,"(8, 11]"
"(179, 191]","(71, 83]",*,"(1979, 1985]",*,*,*,*,"(2015, 2021]","(29, 35]",69.0,0.0,1108.0,11.8,2.0,7.5,4.8,21.0,80.0,101.0,491.0,"(5, 11]",2,"(8, 11]"
"(179, 191]","(71, 83]",*,"(1979, 1985]",*,*,*,*,"(2015, 2021]","(29, 35]",65.0,0.0,894.0,9.5,2.3,6.3,4.3,18.0,51.0,69.0,322.0,"(5, 11]",2,"(8, 11]"
"(203, 215]","(95, 107]",*,"(1991, 1997]",*,*,*,*,"(2009, 2015]","(17, 23]",47.0,8.0,797.0,11.4,6.4,17.8,12.0,46.0,123.0,169.0,243.0,"(-1, 5]",2,"(2, 5]"
"(203, 215]","(95, 107]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",78.0,37.0,1863.0,17.0,9.0,21.3,15.1,154.0,353.0,507.0,719.0,"(-1, 5]",2,"(2, 5]"
"(203, 215]","(95, 107]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",80.0,72.0,2298.0,14.4,5.3,14.1,9.6,116.0,289.0,405.0,1019.0,"(-1, 5]",2,"(2, 5]"
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",32.0,0.0,311.0,16.6,16.7,23.1,19.8,45.0,61.0,106.0,104.0,"(-1, 5]",1,"(5, 8]"
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",41.0,6.0,531.0,11.0,13.4,25.8,19.6,59.0,112.0,171.0,129.0,"(-1, 5]",1,"(5, 8]"
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",49.0,40.0,813.0,11.1,12.1,28.3,20.3,83.0,198.0,281.0,191.0,"(-1, 5]",1,"(5, 8]"
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",42.0,16.0,513.0,9.0,10.9,20.0,15.4,48.0,85.0,133.0,119.0,"(-1, 5]",2,"(5, 8]"
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",33.0,6.0,335.0,7.9,13.0,21.8,17.4,39.0,64.0,103.0,60.0,"(5, 11]",2,"(5, 8]"
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",21.0,0.0,93.0,4.3,4.7,13.1,8.8,4.0,11.0,15.0,18.0,"(-1, 5]",1,"(-1, 2]"
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",5.0,0.0,17.0,-2.2,0.0,19.5,9.7,0.0,3.0,3.0,1.0,"(-1, 5]",1,"(-1, 2]"
"(179, 191]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",26.0,1.0,234.0,16.0,1.4,6.6,4.1,3.0,14.0,17.0,113.0,"(-1, 5]",1,"(2, 5]"
"(179, 191]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",40.0,0.0,632.0,11.3,1.6,7.9,4.7,9.0,43.0,52.0,203.0,"(-1, 5]",3,"(2, 5]"
"(191, 203]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",31.0,0.0,241.0,7.4,4.7,10.1,7.4,10.0,22.0,32.0,74.0,"(-1, 5]",1,"(2, 5]"
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2009, 2015]","(17, 23]",6.0,1.0,37.0,7.3,0.0,9.2,4.6,0.0,3.0,3.0,14.0,"(-1, 5]",1,"(-1, 2]"
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",32.0,22.0,739.0,7.7,7.2,18.2,12.5,48.0,114.0,162.0,213.0,"(-1, 5]",1,"(2, 5]"
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",52.0,2.0,486.0,5.6,4.8,21.5,13.3,20.0,91.0,111.0,132.0,"(-1, 5]",1,"(2, 5]"
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",18.0,0.0,135.0,14.4,7.7,21.0,14.3,9.0,24.0,33.0,63.0,"(-1, 5]",2,"(2, 5]"
"(203, 215]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",72.0,15.0,2195.0,16.8,4.5,16.7,10.5,88.0,317.0,405.0,1276.0,"(5, 11]",1,"(14, 17]"
"(203, 215]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",73.0,3.0,1665.0,12.3,5.4,17.2,11.5,76.0,256.0,332.0,765.0,"(11, 17]",2,"(14, 17]"
"(203, 215]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",64.0,1.0,1761.0,15.3,4.9,20.4,12.9,72.0,318.0,390.0,910.0,"(11, 17]",2,"(14, 17]"
"(203, 215]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",10.0,0.0,119.0,10.3,5.7,19.9,12.8,6.0,21.0,27.0,51.0,"(11, 17]",2,"(14, 17]"
"(203, 215]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",34.0,0.0,511.0,9.7,3.3,15.0,9.1,15.0,65.0,80.0,225.0,"(11, 17]",3,"(14, 17]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",81.0,81.0,2845.0,19.4,9.6,23.3,16.4,236.0,563.0,799.0,1148.0,"(-1, 5]",1,"(8, 11]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",77.0,77.0,2704.0,20.7,8.2,23.7,16.0,182.0,536.0,718.0,1178.0,"(-1, 5]",1,"(8, 11]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",11.0,11.0,348.0,19.0,8.8,17.1,13.0,26.0,51.0,77.0,136.0,"(-1, 5]",3,"(8, 11]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",74.0,74.0,2756.0,19.8,8.2,23.0,15.7,195.0,562.0,757.0,1289.0,"(-1, 5]",2,"(8, 11]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",29.0,29.0,958.0,22.0,8.0,21.4,14.8,66.0,178.0,244.0,538.0,"(5, 11]",3,"(8, 11]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",76.0,76.0,2318.0,21.4,6.7,19.8,13.4,131.0,413.0,544.0,1156.0,"(5, 11]",2,"(8, 11]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",82.0,82.0,2631.0,19.4,6.3,18.2,12.4,148.0,448.0,596.0,1249.0,"(5, 11]",1,"(8, 11]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(29, 35]",68.0,68.0,2193.0,17.7,4.9,18.6,11.8,95.0,369.0,464.0,952.0,"(5, 11]",2,"(8, 11]"
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",76.0,76.0,2463.0,19.0,8.0,24.2,16.0,180.0,523.0,703.0,1301.0,"(-1, 5]",1,"(11, 14]"
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",82.0,82.0,2940.0,20.1,9.6,23.2,16.3,235.0,559.0,794.0,1528.0,"(5, 11]",1,"(11, 14]"
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",61.0,61.0,2075.0,22.8,7.3,25.3,16.2,133.0,452.0,585.0,1170.0,"(5, 11]",2,"(11, 14]"
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",78.0,78.0,2578.0,20.9,7.0,25.9,16.3,156.0,564.0,720.0,1391.0,"(5, 11]",2,"(11, 14]"
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",73.0,73.0,2553.0,22.7,6.9,28.3,17.5,156.0,636.0,792.0,1594.0,"(5, 11]",1,"(11, 14]"
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",65.0,61.0,1992.0,19.7,5.3,25.5,15.1,99.0,449.0,548.0,1082.0,"(5, 11]",1,"(11, 14]"
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2015, 2021]","(29, 35]",47.0,18.0,1096.0,18.2,5.6,24.6,15.0,57.0,244.0,301.0,562.0,"(5, 11]",1,"(11, 14]"
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2015, 2021]","(29, 35]",66.0,1.0,931.0,18.9,9.2,24.2,16.8,75.0,203.0,278.0,535.0,"(11, 17]",3,"(11, 14]"
"(191, 203]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",75.0,46.0,2079.0,11.8,6.4,10.0,8.2,116.0,178.0,294.0,804.0,"(-1, 5]",1,"(2, 5]"
"(191, 203]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",49.0,23.0,1069.0,11.8,4.7,12.2,8.3,46.0,110.0,156.0,393.0,"(-1, 5]",2,"(2, 5]"
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",81.0,14.0,1452.0,9.6,6.1,15.4,10.8,75.0,192.0,267.0,457.0,"(-1, 5]",1,"(5, 8]"
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",66.0,21.0,1477.0,10.6,7.8,16.9,12.4,95.0,213.0,308.0,399.0,"(-1, 5]",1,"(5, 8]"
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",76.0,71.0,2066.0,13.7,7.9,26.2,16.9,139.0,446.0,585.0,555.0,"(-1, 5]",1,"(5, 8]"
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",80.0,65.0,2045.0,13.2,7.2,21.2,14.1,129.0,367.0,496.0,572.0,"(-1, 5]",1,"(5, 8]"
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",74.0,3.0,1366.0,14.4,9.1,18.4,13.7,114.0,228.0,342.0,412.0,"(-1, 5]",1,"(5, 8]"
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",82.0,82.0,2341.0,12.7,4.5,18.6,11.5,98.0,401.0,499.0,839.0,"(-1, 5]",1,"(5, 8]"
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",61.0,25.0,1773.0,11.3,4.8,23.5,14.1,77.0,374.0,451.0,532.0,"(5, 11]",2,"(5, 8]"
"(191, 203]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",17.0,12.0,461.0,8.7,2.1,6.5,4.3,8.0,26.0,34.0,163.0,"(5, 11]",1,"(8, 11]"
"(191, 203]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",65.0,2.0,1495.0,12.6,2.7,9.2,5.9,34.0,114.0,148.0,693.0,"(5, 11]",1,"(8, 11]"
"(191, 203]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",78.0,26.0,1773.0,9.5,2.7,9.1,5.9,40.0,135.0,175.0,564.0,"(5, 11]",1,"(8, 11]"
"(191, 203]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",74.0,19.0,1744.0,10.6,2.0,11.1,6.6,31.0,173.0,204.0,545.0,"(5, 11]",1,"(8, 11]"
"(191, 203]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2015, 2021]","(29, 35]",13.0,0.0,192.0,9.2,0.6,15.5,7.9,1.0,26.0,27.0,65.0,"(5, 11]",2,"(8, 11]"
"(191, 203]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2015, 2021]","(29, 35]",30.0,0.0,308.0,5.0,1.1,7.4,4.4,3.0,21.0,24.0,86.0,"(5, 11]",2,"(8, 11]"
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",59.0,0.0,939.0,14.0,6.9,9.3,8.1,57.0,75.0,132.0,425.0,"(-1, 5]",1,"(5, 8]"
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",64.0,0.0,1137.0,11.5,3.8,11.2,7.5,37.0,108.0,145.0,451.0,"(-1, 5]",2,"(5, 8]"
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",78.0,12.0,2193.0,15.8,3.0,10.7,6.8,59.0,198.0,257.0,1089.0,"(-1, 5]",1,"(5, 8]"
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",27.0,27.0,899.0,13.0,2.5,12.1,7.3,19.0,95.0,114.0,374.0,"(-1, 5]",3,"(5, 8]"
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",31.0,3.0,797.0,14.3,2.4,13.6,8.0,16.0,93.0,109.0,412.0,"(-1, 5]",3,"(5, 8]"
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",42.0,0.0,653.0,11.6,3.1,17.7,10.6,17.0,103.0,120.0,283.0,"(-1, 5]",2,"(5, 8]"
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",68.0,6.0,1055.0,10.1,1.9,7.1,4.5,18.0,68.0,86.0,406.0,"(-1, 5]",2,"(-1, 2]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",5.0,0.0,14.0,8.5,8.3,0.0,4.1,1.0,0.0,1.0,4.0,"(-1, 5]",1,"(-1, 2]"
"(215, 227]","(107, 119]",*,"(1991, 1997]",*,*,*,*,"(2009, 2015]","(17, 23]",42.0,3.0,362.0,7.3,12.1,18.6,15.3,39.0,60.0,99.0,86.0,"(-1, 5]",1,"(2, 5]"
"(215, 227]","(107, 119]",*,"(1991, 1997]",*,*,*,*,"(2009, 2015]","(17, 23]",69.0,44.0,1518.0,13.5,10.2,22.7,16.4,142.0,312.0,454.0,432.0,"(-1, 5]",1,"(2, 5]"
"(215, 227]","(107, 119]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",78.0,46.0,1821.0,12.4,10.4,25.4,17.7,178.0,416.0,594.0,703.0,"(-1, 5]",1,"(2, 5]"
"(215, 227]","(107, 119]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",77.0,34.0,1560.0,15.0,10.6,25.3,17.8,156.0,354.0,510.0,613.0,"(-1, 5]",1,"(2, 5]"
"(191, 203]","(95, 107]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",6.0,1.0,157.0,13.2,7.7,12.7,10.2,11.0,18.0,29.0,64.0,"(-1, 5]",1,"(-1, 2]"
"(203, 215]","(119, 131]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",8.0,0.0,73.0,14.8,28.5,14.5,21.8,19.0,9.0,28.0,22.0,"(-1, 5]",1,"(-1, 2]"
"(191, 203]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",77.0,16.0,1840.0,11.0,2.5,8.6,5.4,41.0,134.0,175.0,665.0,"(-1, 5]",2,"(-1, 2]"
"(191, 203]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",63.0,0.0,664.0,10.2,3.4,10.1,6.6,21.0,60.0,81.0,250.0,"(-1, 5]",1,"(-1, 2]"
"(191, 203]","(83, 95]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",17.0,0.0,285.0,20.0,2.9,5.6,4.2,8.0,14.0,22.0,169.0,"(-1, 5]",3,"(-1, 2]"
"(215, 227]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",6.0,0.0,30.0,6.3,4.1,11.8,8.0,1.0,3.0,4.0,10.0,"(-1, 5]",1,"(5, 8]"
"(215, 227]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",34.0,2.0,340.0,12.2,5.9,21.5,13.6,17.0,61.0,78.0,143.0,"(-1, 5]",1,"(5, 8]"
"(215, 227]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",56.0,30.0,951.0,14.6,11.3,22.7,16.9,94.0,183.0,277.0,328.0,"(-1, 5]",1,"(5, 8]"
"(215, 227]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",68.0,8.0,957.0,19.9,12.4,25.0,18.7,104.0,211.0,315.0,443.0,"(5, 11]",1,"(5, 8]"
"(215, 227]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",59.0,17.0,861.0,13.8,9.3,25.9,17.3,75.0,194.0,269.0,352.0,"(5, 11]",1,"(5, 8]"
"(215, 227]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",39.0,15.0,584.0,12.9,8.3,23.8,16.0,46.0,131.0,177.0,207.0,"(5, 11]",1,"(5, 8]"
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2009, 2015]","(17, 23]",15.0,0.0,100.0,7.7,1.1,8.5,4.8,1.0,8.0,9.0,33.0,"(-1, 5]",1,"(2, 5]"
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2009, 2015]","(17, 23]",51.0,9.0,683.0,8.7,1.1,10.1,5.7,7.0,66.0,73.0,168.0,"(-1, 5]",2,"(2, 5]"
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",81.0,8.0,2105.0,12.2,1.4,9.7,5.6,27.0,189.0,216.0,832.0,"(-1, 5]",2,"(2, 5]"
"(191, 203]","(83, 95]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(23, 29]",79.0,7.0,2254.0,11.6,0.9,10.2,5.5,19.0,206.0,225.0,845.0,"(-1, 5]",2,"(2, 5]"
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",11.0,2.0,182.0,16.2,9.3,11.6,10.4,15.0,18.0,33.0,81.0,"(-1, 5]",1,"(5, 8]"
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",56.0,34.0,1118.0,10.8,6.2,12.7,9.3,62.0,120.0,182.0,331.0,"(-1, 5]",1,"(5, 8]"
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",63.0,31.0,1827.0,13.2,6.1,14.3,10.0,101.0,221.0,322.0,665.0,"(-1, 5]",2,"(5, 8]"
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",82.0,82.0,2541.0,10.5,3.3,11.7,7.3,75.0,245.0,320.0,842.0,"(-1, 5]",1,"(5, 8]"
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",65.0,24.0,1020.0,8.6,3.8,12.8,8.2,35.0,114.0,149.0,258.0,"(-1, 5]",1,"(5, 8]"
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",15.0,2.0,151.0,9.7,5.8,11.1,8.5,8.0,16.0,24.0,51.0,"(-1, 5]",2,"(5, 8]"
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",73.0,38.0,1632.0,8.4,3.9,13.0,8.3,60.0,185.0,245.0,325.0,"(5, 11]",3,"(5, 8]"
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",13.0,0.0,89.0,3.1,5.0,13.5,9.3,4.0,11.0,15.0,11.0,"(5, 11]",1,"(5, 8]"
"(203, 215]","(107, 119]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",82.0,82.0,2838.0,22.6,9.7,18.9,14.5,230.0,502.0,732.0,1896.0,"(5, 11]",1,"(11, 14]"
"(203, 215]","(107, 119]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",78.0,78.0,2870.0,22.7,7.8,17.6,12.7,198.0,438.0,636.0,1971.0,"(5, 11]",1,"(11, 14]"
"(203, 215]","(107, 119]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",47.0,47.0,1543.0,17.7,7.9,19.8,13.7,106.0,261.0,367.0,823.0,"(5, 11]",2,"(11, 14]"
"(203, 215]","(107, 119]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",29.0,0.0,682.0,22.1,10.0,15.1,12.4,60.0,85.0,145.0,413.0,"(5, 11]",2,"(11, 14]"
"(203, 215]","(107, 119]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",65.0,21.0,1466.0,18.8,8.7,17.2,12.8,112.0,208.0,320.0,772.0,"(5, 11]",2,"(11, 14]"
"(203, 215]","(107, 119]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",36.0,14.0,865.0,19.5,10.8,22.3,16.4,83.0,162.0,245.0,432.0,"(11, 17]",2,"(11, 14]"
"(203, 215]","(107, 119]",*,"(1979, 1985]",*,*,*,*,"(2015, 2021]","(29, 35]",52.0,36.0,762.0,17.3,10.0,22.6,16.5,65.0,157.0,222.0,300.0,"(11, 17]",2,"(11, 14]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",82.0,5.0,1453.0,16.7,12.9,19.1,16.1,154.0,241.0,395.0,511.0,"(-1, 5]",1,"(11, 14]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",72.0,54.0,1853.0,17.6,11.8,17.8,14.7,189.0,272.0,461.0,688.0,"(-1, 5]",2,"(11, 14]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",64.0,43.0,1553.0,14.4,11.4,19.4,15.4,149.0,259.0,408.0,452.0,"(5, 11]",2,"(11, 14]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",81.0,38.0,2325.0,17.3,11.4,20.0,15.6,227.0,384.0,611.0,813.0,"(5, 11]",1,"(11, 14]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",77.0,72.0,2214.0,15.4,9.0,17.6,13.3,172.0,333.0,505.0,799.0,"(5, 11]",1,"(11, 14]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",75.0,72.0,1979.0,15.4,9.3,17.3,13.3,159.0,297.0,456.0,694.0,"(5, 11]",2,"(11, 14]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",79.0,76.0,1800.0,16.0,10.3,19.6,14.9,178.0,327.0,505.0,577.0,"(5, 11]",1,"(11, 14]"
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",80.0,77.0,1608.0,15.0,8.2,17.0,12.6,117.0,248.0,365.0,520.0,"(5, 11]",3,"(11, 14]"
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",76.0,7.0,2166.0,15.8,10.9,20.4,15.9,189.0,389.0,578.0,651.0,"(-1, 5]",1,"(11, 14]"
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",31.0,31.0,994.0,15.2,11.0,24.1,17.4,98.0,203.0,301.0,282.0,"(5, 11]",3,"(11, 14]"
