height,weight,collage,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury,total_years
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",75.0,0.0,1230.0,15.0,8.0,17.2,12.5,93.0,189.0,282.0,448.0,"(-1, 5]",1,"(5, 8]"
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",78.0,0.0,1176.0,10.3,6.8,19.4,13.0,77.0,211.0,288.0,340.0,"(5, 11]",1,"(5, 8]"
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",78.0,6.0,1232.0,9.3,5.5,19.1,12.3,60.0,213.0,273.0,299.0,"(5, 11]",2,"(5, 8]"
"(203, 215]","(119, 131]",*,"(1991, 1997]",*,*,*,*,"(2009, 2015]","(17, 23]",62.0,57.0,1482.0,15.6,9.6,20.5,14.9,121.0,251.0,372.0,554.0,"(-1, 5]",2,"(2, 5]"
"(203, 215]","(119, 131]",*,"(1991, 1997]",*,*,*,*,"(2009, 2015]","(17, 23]",81.0,81.0,2282.0,16.1,11.5,25.1,18.2,226.0,488.0,714.0,916.0,"(-1, 5]",1,"(2, 5]"
"(203, 215]","(119, 131]",*,"(1991, 1997]",*,*,*,*,"(2009, 2015]","(17, 23]",80.0,80.0,2096.0,20.6,11.8,26.3,19.1,215.0,478.0,693.0,963.0,"(-1, 5]",1,"(2, 5]"
"(203, 215]","(119, 131]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(17, 23]",60.0,59.0,1557.0,22.6,13.8,26.3,20.1,184.0,363.0,547.0,768.0,"(-1, 5]",2,"(2, 5]"
"(203, 215]","(119, 131]",*,"(1991, 1997]",*,*,*,*,"(2015, 2021]","(23, 29]",80.0,80.0,2066.0,20.1,12.4,29.1,20.8,226.0,533.0,759.0,959.0,"(-1, 5]",2,"(2, 5]"
"(203, 215]","(83, 95]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",25.0,1.0,292.0,10.8,5.7,14.7,10.1,15.0,37.0,52.0,118.0,"(5, 11]",1,"(8, 11]"
"(179, 191]","(71, 83]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",17.0,0.0,231.0,9.5,0.5,11.1,5.5,1.0,21.0,22.0,106.0,"(-1, 5]",1,"(-1, 2]"
"(179, 191]","(71, 83]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",81.0,81.0,2339.0,13.0,1.1,8.1,4.6,24.0,167.0,191.0,1094.0,"(-1, 5]",1,"(-1, 2]"
