height,weight,college,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury
190,85,*,1986,*,*,*,*,2010,23,78.0,43.0,2276.0,14.7,2.2,8.2,5.3,42.0,163.0,205.0,964.0,1,1
190,85,*,1986,*,*,*,*,2011,24,76.0,5.0,2148.0,14.6,1.3,9.2,5.4,24.0,175.0,199.0,884.0,2,2
190,85,*,1986,*,*,*,*,2012,25,50.0,9.0,1274.0,15.7,2.8,10.5,6.7,31.0,120.0,151.0,481.0,3,3
190,85,*,1986,*,*,*,*,2013,26,76.0,76.0,2620.0,16.6,2.0,9.9,6.0,47.0,237.0,284.0,1076.0,4,2
190,85,*,1986,*,*,*,*,2014,27,76.0,76.0,2434.0,13.4,2.6,10.1,6.5,53.0,230.0,283.0,781.0,5,2
190,85,*,1986,*,*,*,*,2015,28,43.0,36.0,1267.0,21.5,2.2,13.3,7.8,25.0,154.0,179.0,692.0,6,2
190,85,*,1986,*,*,*,*,2016,29,74.0,73.0,2524.0,13.2,2.5,10.3,6.5,58.0,240.0,298.0,894.0,7,2
190,85,*,1986,*,*,*,*,2017,30,49.0,49.0,1544.0,19.3,1.8,10.5,6.2,23.0,144.0,167.0,829.0,8,2
203,104,*,1993,*,*,*,*,2017,23,23.0,0.0,93.0,0.1,2.4,17.9,10.3,2.0,15.0,17.0,21.0,0,1
216,108,*,1997,*,*,*,*,2017,19,22.0,0.0,355.0,12.7,7.9,19.9,14.0,24.0,62.0,86.0,124.0,0,1
201,92,*,1986,*,*,*,*,2012,26,31.0,2.0,781.0,15.8,2.2,14.2,8.0,15.0,93.0,108.0,400.0,6,1
201,92,*,1986,*,*,*,*,2013,27,60.0,7.0,1080.0,9.9,3.3,11.1,7.3,31.0,110.0,141.0,421.0,7,1
201,92,*,1986,*,*,*,*,2014,28,82.0,48.0,2330.0,16.5,2.3,10.9,6.6,48.0,227.0,275.0,1295.0,8,1
201,92,*,1986,*,*,*,*,2015,29,74.0,4.0,1446.0,15.4,2.5,11.7,7.0,33.0,153.0,186.0,884.0,9,1
201,92,*,1986,*,*,*,*,2016,30,69.0,14.0,1557.0,10.1,1.9,9.7,5.9,25.0,138.0,163.0,616.0,10,1
201,92,*,1986,*,*,*,*,2017,31,47.0,0.0,538.0,12.0,3.6,13.9,8.8,17.0,68.0,85.0,262.0,11,1
201,97,*,1982,*,*,*,*,2010,27,76.0,76.0,3119.0,18.3,5.9,23.2,14.7,150.0,612.0,762.0,1386.0,8,1
201,97,*,1982,*,*,*,*,2011,28,23.0,15.0,821.0,18.9,5.6,21.2,13.0,39.0,136.0,175.0,364.0,9,2
201,97,*,1982,*,*,*,*,2012,29,42.0,42.0,1503.0,15.5,4.8,17.0,10.7,63.0,214.0,277.0,557.0,10,2
201,97,*,1982,*,*,*,*,2013,30,69.0,68.0,2076.0,11.6,3.9,14.3,9.1,69.0,250.0,319.0,531.0,11,1
201,97,*,1982,*,*,*,*,2014,31,58.0,16.0,1416.0,10.0,2.8,14.5,8.5,36.0,176.0,212.0,298.0,12,2
201,97,*,1982,*,*,*,*,2015,32,32.0,0.0,286.0,6.2,6.4,15.5,10.9,17.0,40.0,57.0,35.0,13,1
211,100,*,1994,*,*,*,*,2014,19,77.0,23.0,1897.0,10.8,4.6,16.3,10.2,78.0,261.0,339.0,525.0,0,1
211,100,*,1994,*,*,*,*,2015,20,81.0,71.0,2541.0,14.8,4.5,19.7,12.2,100.0,442.0,542.0,1030.0,1,2
211,100,*,1994,*,*,*,*,2016,21,80.0,79.0,2823.0,18.8,4.6,20.0,12.4,113.0,499.0,612.0,1350.0,2,2
211,100,*,1994,*,*,*,*,2017,22,80.0,80.0,2845.0,26.1,5.9,22.6,14.3,142.0,558.0,700.0,1832.0,3,2
190,86,*,1982,*,*,*,*,2010,28,32.0,32.0,1169.0,18.7,1.6,11.6,6.5,17.0,116.0,133.0,722.0,8,1
190,86,*,1982,*,*,*,*,2011,29,49.0,2.0,1070.0,8.6,1.8,11.0,6.5,16.0,103.0,119.0,392.0,9,2
190,86,*,1982,*,*,*,*,2012,30,17.0,0.0,211.0,9.9,1.1,9.0,5.0,2.0,16.0,18.0,72.0,10,2
206,131,*,1986,*,*,*,*,2010,24,54.0,1.0,933.0,11.5,13.7,13.3,13.5,101.0,104.0,205.0,340.0,2,1
206,131,*,1986,*,*,*,*,2011,25,78.0,13.0,2298.0,12.8,5.7,16.4,11.4,101.0,324.0,425.0,915.0,3,2
206,131,*,1986,*,*,*,*,2012,26,61.0,13.0,1427.0,13.2,8.5,18.4,13.4,107.0,224.0,331.0,566.0,4,2
206,131,*,1986,*,*,*,*,2013,27,34.0,33.0,1064.0,15.0,5.8,20.3,13.1,55.0,191.0,246.0,512.0,5,2
206,131,*,1986,*,*,*,*,2014,28,68.0,44.0,1662.0,13.1,7.4,16.4,11.9,108.0,243.0,351.0,641.0,6,1
206,131,*,1986,*,*,*,*,2015,29,74.0,0.0,904.0,10.8,5.5,15.4,10.5,43.0,126.0,169.0,294.0,7,1
