height,weight,college,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",55.0,2.0,487.0,5.7,2.6,23.8,15.2,20.0,92.0,108.0,132.0,"(-1, 5]",1
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",21.0,4.0,136.0,19.9,8.6,21.1,14.6,11.0,26.0,31.0,67.0,"(-1, 5]",2
"(203, 215]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",68.0,14.0,2195.0,14.6,6.0,16.5,8.3,95.0,317.0,405.0,1279.0,"(5, 11]",1
"(203, 215]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",76.0,3.0,1667.0,12.4,3.9,15.9,5.7,73.0,261.0,333.0,763.0,"(11, 17]",2
"(203, 215]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",68.0,0.0,1761.0,13.6,4.4,23.9,9.6,70.0,319.0,393.0,909.0,"(11, 17]",2
"(203, 215]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",11.0,0.0,119.0,15.0,6.9,16.1,15.8,11.0,21.0,31.0,54.0,"(11, 17]",2
"(203, 215]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",33.0,0.0,511.0,7.6,3.7,15.7,12.8,20.0,65.0,77.0,226.0,"(11, 17]",3
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",79.0,83.0,2844.0,18.8,9.4,27.0,15.6,234.0,560.0,798.0,1145.0,"(-1, 5]",1
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",74.0,79.0,2707.0,21.0,10.3,25.1,12.3,181.0,532.0,718.0,1180.0,"(-1, 5]",1
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",14.0,8.0,348.0,17.7,9.4,19.4,6.8,24.0,51.0,80.0,136.0,"(-1, 5]",3
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",73.0,76.0,2753.0,20.1,8.4,23.3,20.7,193.0,562.0,757.0,1291.0,"(-1, 5]",2
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",25.0,29.0,958.0,22.4,6.5,21.0,19.3,68.0,180.0,246.0,538.0,"(5, 11]",3
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",76.0,79.0,2323.0,20.2,4.8,22.0,15.0,131.0,415.0,541.0,1155.0,"(5, 11]",2
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",81.0,82.0,2630.0,22.9,6.0,18.8,11.9,150.0,451.0,597.0,1248.0,"(5, 11]",1
"(203, 215]","(107, 119]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(29, 35]",67.0,67.0,2195.0,16.5,0.7,19.5,11.8,95.0,372.0,465.0,954.0,"(5, 11]",2
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",75.0,76.0,2461.0,18.6,8.4,24.9,13.8,184.0,523.0,704.0,1302.0,"(-1, 5]",1
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",85.0,82.0,2939.0,19.7,7.7,18.0,16.7,234.0,554.0,794.0,1526.0,"(5, 11]",1
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",65.0,67.0,2075.0,15.5,8.1,21.4,15.0,127.0,451.0,586.0,1173.0,"(5, 11]",2
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",78.0,79.0,2579.0,20.2,6.6,23.5,16.2,157.0,564.0,721.0,1390.0,"(5, 11]",2
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",73.0,74.0,2560.0,23.4,7.7,28.1,17.0,152.0,633.0,782.0,1593.0,"(5, 11]",1
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",66.0,60.0,1992.0,19.9,5.0,27.4,9.5,95.0,454.0,548.0,1083.0,"(5, 11]",1
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2015, 2021]","(29, 35]",45.0,13.0,1102.0,20.2,6.9,27.3,21.2,55.0,243.0,299.0,564.0,"(5, 11]",1
"(203, 215]","(119, 131]",*,"(1979, 1985]",*,*,*,*,"(2015, 2021]","(29, 35]",64.0,11.0,927.0,15.5,3.0,24.7,15.6,75.0,204.0,282.0,531.0,"(11, 17]",3
"(191, 203]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",72.0,42.0,2079.0,11.6,4.8,10.3,15.4,116.0,176.0,295.0,800.0,"(-1, 5]",1
"(191, 203]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",50.0,27.0,1065.0,11.8,4.9,14.5,4.8,43.0,107.0,157.0,393.0,"(-1, 5]",2
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",77.0,15.0,1450.0,13.1,8.0,17.7,10.7,80.0,188.0,267.0,457.0,"(-1, 5]",1
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",64.0,23.0,1473.0,12.0,7.5,15.7,13.3,98.0,211.0,310.0,400.0,"(-1, 5]",1
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",75.0,73.0,2066.0,15.7,8.9,26.3,17.0,140.0,445.0,584.0,555.0,"(-1, 5]",1
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",80.0,70.0,2049.0,13.6,6.8,17.7,11.7,128.0,364.0,496.0,572.0,"(-1, 5]",1
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",73.0,2.0,1366.0,11.9,12.0,18.1,12.3,114.0,227.0,347.0,412.0,"(-1, 5]",1
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",84.0,85.0,2340.0,10.7,8.2,19.9,17.6,99.0,400.0,501.0,838.0,"(-1, 5]",1
"(203, 215]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",61.0,23.0,1769.0,14.1,5.6,19.0,15.1,80.0,374.0,450.0,530.0,"(5, 11]",2
"(191, 203]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",17.0,11.0,460.0,5.9,1.0,9.9,5.3,6.0,27.0,32.0,159.0,"(5, 11]",1
"(191, 203]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",64.0,1.0,1492.0,-0.3,4.1,10.2,8.0,34.0,112.0,148.0,693.0,"(5, 11]",1
"(191, 203]","(95, 107]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(29, 35]",78.0,27.0,1774.0,7.6,2.0,6.9,2.2,40.0,131.0,177.0,563.0,"(5, 11]",1
