height,weight,college,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury
208,104,*,1988,*,*,*,*,2017,28,36.0,35.0,674.0,9.8,1.5,13.9,3.2,9.0,78.0,80.0,213.0,5,3
211,115,*,1983,*,*,*,*,2010,26,84.0,38.0,2190.0,14.8,2.6,20.6,9.8,64.0,361.0,428.0,908.0,4,1
211,115,*,1983,*,*,*,*,2011,27,79.0,64.0,2545.0,12.5,2.3,22.1,12.4,66.0,447.0,509.0,973.0,5,1
211,115,*,1983,*,*,*,*,2012,28,64.0,55.0,1669.0,15.5,7.8,18.5,13.7,71.0,310.0,379.0,676.0,6,1
211,115,*,1983,*,*,*,*,2014,30,81.0,82.0,2309.0,12.6,2.3,14.2,10.4,70.0,346.0,417.0,908.0,8,1
211,115,*,1983,*,*,*,*,2015,31,76.0,49.0,1864.0,10.1,0.0,15.6,7.2,27.0,264.0,291.0,547.0,9,2
211,115,*,1983,*,*,*,*,2016,32,71.0,31.0,1200.0,15.9,3.1,17.7,9.6,33.0,198.0,233.0,425.0,10,1
211,115,*,1983,*,*,*,*,2017,33,79.0,12.0,1402.0,18.4,0.0,21.8,11.0,36.0,253.0,289.0,678.0,11,1
190,99,*,1989,*,*,*,*,2012,22,52.0,25.0,893.0,10.3,5.7,11.2,8.0,8.0,59.0,61.0,296.0,0,1
190,99,*,1989,*,*,*,*,2013,23,61.0,0.0,441.0,7.2,2.6,7.9,7.0,10.0,22.0,30.0,106.0,1,1
190,90,*,1979,*,*,*,*,2010,30,68.0,42.0,1611.0,9.5,3.1,7.5,6.9,32.0,103.0,130.0,461.0,8,1
190,90,*,1979,*,*,*,*,2011,31,21.0,2.0,167.0,5.5,7.3,8.7,6.4,6.0,11.0,19.0,28.0,9,1
211,105,*,1984,*,*,*,*,2010,25,79.0,18.0,1848.0,23.3,1.2,17.6,10.6,87.0,281.0,365.0,928.0,4,1
211,105,*,1984,*,*,*,*,2011,26,73.0,13.0,1666.0,16.1,1.7,22.5,7.1,52.0,247.0,292.0,837.0,5,2
211,105,*,1984,*,*,*,*,2012,27,15.0,1.0,179.0,15.7,6.4,23.8,16.3,11.0,35.0,52.0,90.0,6,2
211,105,*,1984,*,*,*,*,2013,28,69.0,3.0,1094.0,27.4,4.9,23.2,12.1,50.0,196.0,241.0,468.0,7,2
211,105,*,1984,*,*,*,*,2014,29,18.0,0.0,175.0,11.5,3.9,22.9,8.6,6.0,26.0,36.0,89.0,8,2
